profile,architecture,steps,alpha,gamma,behavior_episode_return,bc_wis_mean,cql_wis_mean,cql_ci_low,cql_ci_high,cql_ess,file_path,mtime
full,dueling,3000,5.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a5_g0_9_seed42.json,1777365224.6149921
full,dueling,3000,7.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a7_5_g0_9_seed42.json,1777323136.958514
full,dueling,3000,10.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a10_g0_9_seed42.json,1777365255.3828235
full,dueling,3000,0.25,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_25_g0_95_seed42.json,1777323171.3183026
full,dueling,3000,0.5,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_5_g0_95_seed42.json,1777365285.3466592
full,dueling,3000,0.75,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_75_g0_95_seed42.json,1777323205.282094
full,dueling,3000,1.0,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a1_g0_95_seed42.json,1777365315.8184912
full,dueling,3000,1.5,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a1_5_g0_95_seed42.json,1777323239.793882
full,dueling,3000,2.0,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a2_g0_95_seed42.json,1777365346.746313
full,dueling,3000,2.5,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a2_5_g0_95_seed42.json,1777323273.457675
full,dueling,3000,5.0,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a5_g0_95_seed42.json,1777365376.638141
full,dueling,3000,7.5,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a7_5_g0_95_seed42.json,1777323308.089462
full,dueling,3000,10.0,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a10_g0_95_seed42.json,1777365407.4139636
full,dueling,3000,0.25,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_25_g0_99_seed42.json,1777323341.4012573
full,dueling,3000,0.5,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_5_g0_99_seed42.json,1777365437.6257894
full,dueling,3000,0.75,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a0_75_g0_99_seed42.json,1777323374.7730522
full,dueling,3000,1.0,0.99,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s3000_a1_g0_99_seed42.json,1777365468.4256165
